date,recovered
2020-01-02,1
2020-01-05,1
2020-01-23,1
2020-01-28,2
2020-01-29,2
2020-01-31,5
2020-02-01,1
2020-02-03,1
2020-02-04,4
2020-02-05,2
2020-02-06,1
2020-02-07,1
2020-02-10,1
2020-02-11,3
2020-02-12,1
2020-02-15,1
2020-02-17,1
2020-02-18,1
2020-02-20,1
2020-02-24,1
2020-02-25,3
2020-02-26,7
2020-02-27,24
2020-02-28,47
2020-02-29,23
2020-03-01,35
2020-03-02,42
2020-03-03,84
2020-03-04,155
2020-03-05,185
2020-03-06,183
2020-03-07,138
2020-03-08,102
2020-03-09,339
2020-03-10,591
2020-03-11,746
2020-03-12,979
2020-03-13,1443
2020-03-14,1282
2020-03-15,964
2020-03-16,2003
2020-03-17,2981
2020-03-18,3537
2020-03-19,3992
2020-03-20,3947
2020-03-21,3259
2020-03-22,2182
2020-03-23,3600
2020-03-24,4712
2020-03-25,5462
2020-03-26,5631
2020-03-27,5713
2020-03-28,4473
2020-03-29,2908
2020-03-30,3851
2020-03-31,5677
2020-04-01,5878
2020-04-02,6128
2020-04-03,5792
2020-04-04,4097
2020-04-05,2353
2020-04-06,3366
2020-04-07,4843
2020-04-08,4929
2020-04-09,4576
2020-04-10,3147
2020-04-11,2685
2020-04-12,1698
2020-04-13,1432
2020-04-14,2245
2020-04-15,3089
2020-04-16,3227
2020-04-17,2870
2020-04-18,1984
2020-04-19,1256
2020-04-20,1558
2020-04-21,2042
2020-04-22,2361
2020-04-23,1971
2020-04-24,1821
2020-04-25,1191
2020-04-26,674
2020-04-27,1043
2020-04-28,1379
2020-04-29,1373
2020-04-30,1389
2020-05-01,871
2020-05-02,584
2020-05-03,409
2020-05-04,687
2020-05-05,1044
2020-05-06,1180
2020-05-07,1148
2020-05-08,933
2020-05-09,654
2020-05-10,327
2020-05-11,658
2020-05-12,821
2020-05-13,882
2020-05-14,788
2020-05-15,697
2020-05-16,441
2020-05-17,307
2020-05-18,521
2020-05-19,701
2020-05-20,807
2020-05-21,412
2020-05-22,508
2020-05-23,326
2020-05-24,213
2020-05-25,399
2020-05-26,603
2020-05-27,639
2020-05-28,521
2020-05-29,436
2020-05-30,370
2020-05-31,175
2020-06-01,132
2020-06-02,298
2020-06-03,485
2020-06-04,520
2020-06-05,432
2020-06-06,280
2020-06-07,160
2020-06-08,293
2020-06-09,425
2020-06-10,508
2020-06-11,280
2020-06-12,341
2020-06-13,298
2020-06-14,166
2020-06-15,255
2020-06-16,508
2020-06-17,857
2020-06-18,760
2020-06-19,980
2020-06-20,564
2020-06-21,219
2020-06-22,442
2020-06-23,537
2020-06-24,504
2020-06-25,565
2020-06-26,567
2020-06-27,322
2020-06-28,200
2020-06-29,411
2020-06-30,457
2020-07-01,477
2020-07-02,468
2020-07-03,421
2020-07-04,291
2020-07-05,139
2020-07-06,315
2020-07-07,388
2020-07-08,444
2020-07-09,420
2020-07-10,421
2020-07-11,276
2020-07-12,130
2020-07-13,324
2020-07-14,466
2020-07-15,535
2020-07-16,548
2020-07-17,518
2020-07-18,443
2020-07-19,175
2020-07-20,451
2020-07-21,520
2020-07-22,690
2020-07-23,691
2020-07-24,800
2020-07-25,538
2020-07-26,211
2020-07-27,522
2020-07-28,750
2020-07-29,905
2020-07-30,859
2020-07-31,901
2020-08-01,559
2020-08-02,304
2020-08-03,782
2020-08-04,944
2020-08-05,1104
2020-08-06,1162
2020-08-07,998
2020-08-08,707
2020-08-09,318
2020-08-10,1100
2020-08-11,1190
2020-08-12,1531
2020-08-13,1488
2020-08-14,1370
2020-08-15,750
2020-08-16,489
2020-08-17,1540
2020-08-18,1523
2020-08-19,1753
2020-08-20,1613
2020-08-21,1652
2020-08-22,917
2020-08-23,565
2020-08-24,1420
2020-08-25,1484
2020-08-26,1616
2020-08-27,1539
2020-08-28,1387
2020-08-29,831
2020-08-30,534
2020-08-31,1180
2020-09-01,1318
2020-09-02,1409
2020-09-03,1510
2020-09-04,1483
2020-09-05,1096
2020-09-06,577
2020-09-07,1406
2020-09-08,1356
2020-09-09,1735
2020-09-10,1585
2020-09-11,1637
2020-09-12,1214
2020-09-13,753
2020-09-14,1480
2020-09-15,1987
2020-09-16,2177
2020-09-17,2346
2020-09-18,2152
2020-09-19,1380
2020-09-20,678
2020-09-21,1636
2020-09-22,1798
2020-09-23,2199
2020-09-24,2371
2020-09-25,2313
2020-09-26,1761
2020-09-27,864
2020-09-28,1812
2020-09-29,2147
2020-09-30,2719
2020-10-01,2897
2020-10-02,2895
2020-10-03,2185
2020-10-04,1142
2020-10-05,2372
2020-10-06,3557
2020-10-07,4454
2020-10-08,4608
2020-10-09,5010
2020-10-10,3590
2020-10-11,2243
2020-10-12,4124
2020-10-13,5300
2020-10-14,7182
2020-10-15,7822
2020-10-16,7869
2020-10-17,5624
2020-10-18,3621
2020-10-19,6390
2020-10-20,9303
2020-10-21,12240
2020-10-22,13698
2020-10-23,13819
2020-10-24,10971
2020-10-25,7304
2020-10-26,11766
2020-10-27,15684
2020-10-28,18968
2020-10-29,19547
2020-10-30,19139
2020-10-31,13786
2020-11-01,10342
2020-11-02,14955
2020-11-03,18994
2020-11-04,20870
2020-11-05,21910
2020-11-06,21297
2020-11-07,15694
2020-11-08,9935
2020-11-09,15602
2020-11-10,19241
2020-11-11,22253
2020-11-12,22976
2020-11-13,20914
2020-11-14,15414
2020-11-15,8620
2020-11-16,14225
2020-11-17,19820
2020-11-18,23139
2020-11-19,23152
2020-11-20,21743
2020-11-21,14423
2020-11-22,8531
2020-11-23,14589
2020-11-24,18883
2020-11-25,21441
2020-11-26,22087
2020-11-27,19493
2020-11-28,14518
2020-11-29,8452
2020-11-30,12746
2020-12-01,18547
2020-12-02,22445
2020-12-03,23560
2020-12-04,21426
2020-12-05,15197
2020-12-06,9870
2020-12-07,15746
2020-12-08,21924
2020-12-09,26781
2020-12-10,27949
2020-12-11,26266
2020-12-12,19829
2020-12-13,11972
2020-12-14,18234
2020-12-15,25912
2020-12-16,30281
2020-12-17,30773
2020-12-18,28713
2020-12-19,20922
2020-12-20,13344
2020-12-21,19361
2020-12-22,27761
2020-12-23,32704
2020-12-24,20438
2020-12-25,12650
2020-12-26,10960
2020-12-27,9269
2020-12-28,14834
2020-12-29,26306
2020-12-30,29750
2020-12-31,18794
2021-01-01,9857
2021-01-02,9422
2021-01-03,8337
2021-01-04,13526
2021-01-05,26386
2021-01-06,27039
2021-01-07,25069
2021-01-08,23596
2021-01-09,16057
2021-01-10,8046
2021-01-11,12884
2021-01-12,21688
2021-01-13,23129
2021-01-14,19448
2021-01-15,17472
2021-01-16,12886
2021-01-17,6270
2021-01-18,8618
2021-01-19,17697
2021-01-20,18713
2021-01-21,16090
2021-01-22,14392
2021-01-23,11123
2021-01-24,4808
2021-01-25,6317
2021-01-26,14931
2021-01-27,15194
2021-01-28,12885
2021-01-29,12097
2021-01-30,9635
2021-01-31,4017
2021-02-01,5547
2021-02-02,11903
2021-02-03,12977
2021-02-04,11057
2021-02-05,9698
2021-02-06,8147
2021-02-07,2988
2021-02-08,3944
2021-02-09,8791
2021-02-10,9969
2021-02-11,9054
2021-02-12,8287
2021-02-13,5433
2021-02-14,3653
2021-02-15,4196
2021-02-16,8953
2021-02-17,9731
2021-02-18,8996
2021-02-19,8505
2021-02-20,7621
2021-02-21,2948
2021-02-22,4220
2021-02-23,9961
2021-02-24,11071
2021-02-25,9721
2021-02-26,9271
2021-02-27,7527
2021-02-28,3378
2021-03-01,4527
2021-03-02,10768
2021-03-03,11149
2021-03-04,9966
2021-03-05,9519
2021-03-06,8166
2021-03-07,3281
2021-03-08,4713
2021-03-09,11326
2021-03-10,13791
2021-03-11,12968
2021-03-12,12381
2021-03-13,10346
2021-03-14,4762
2021-03-15,6691
2021-03-16,15571
2021-03-17,18147
2021-03-18,16494
2021-03-19,15510
2021-03-20,13078
2021-03-21,5852
2021-03-22,8735
2021-03-23,19173
2021-03-24,22385
2021-03-25,21627
2021-03-26,19775
2021-03-27,15582
2021-03-28,7470
2021-03-29,10751
2021-03-30,20098
2021-03-31,23695
2021-04-01,21181
2021-04-02,15283
2021-04-03,10458
2021-04-04,7023
2021-04-05,6872
2021-04-06,11243
2021-04-07,23425
2021-04-08,25478
2021-04-09,23036
2021-04-10,17818
2021-04-11,8740
2021-04-12,11917
2021-04-13,26436
2021-04-14,28234
2021-04-15,24812
2021-04-16,22837
2021-04-17,17495
2021-04-18,8684
2021-04-19,12076
2021-04-20,27659
2021-04-21,29089
2021-04-22,25171
2021-04-23,22715
2021-04-24,17822
2021-04-25,8563
2021-04-26,11999
2021-04-27,25018
2021-04-28,24763
2021-04-29,21224
2021-04-30,18967
2021-05-01,14923
2021-05-02,6564
2021-05-03,8984
2021-05-04,20770
2021-05-05,20657
2021-05-06,17009
2021-05-07,15325
2021-05-08,11942
2021-05-09,5246
2021-05-10,7287
2021-05-11,16609
2021-05-12,16347
2021-05-13,9594
2021-05-14,7550
2021-05-15,8507
2021-05-16,4227
2021-05-17,5164
2021-05-18,12232
2021-05-19,11236
2021-05-20,8368
2021-05-21,7506
2021-05-22,5770
2021-05-23,1977
2021-05-24,1779
2021-05-25,3619
2021-05-26,7086
2021-05-27,6775
2021-05-28,5121
2021-05-29,3662
2021-05-30,1588
2021-05-31,2416
2021-06-01,5082
2021-06-02,4458
2021-06-03,2917
2021-06-04,2261
2021-06-05,2290
2021-06-06,1119
2021-06-07,1705
2021-06-08,3519
2021-06-09,2857
2021-06-10,2267
2021-06-11,1832
2021-06-12,1304
2021-06-13,506
2021-06-14,918
2021-06-15,1691
2021-06-16,1437
2021-06-17,1148
2021-06-18,1025
2021-06-19,739
2021-06-20,272
2021-06-21,601
2021-06-22,1053
2021-06-23,901
2021-06-24,822
2021-06-25,732
2021-06-26,485
2021-06-27,222
2021-06-28,519
2021-06-29,892
2021-06-30,860
2021-07-01,705
2021-07-02,664
2021-07-03,507
2021-07-04,207
2021-07-05,554
2021-07-06,1056
2021-07-07,957
2021-07-08,955
2021-07-09,940
2021-07-10,784
2021-07-11,311
2021-07-12,794
2021-07-13,1760
2021-07-14,1621
2021-07-15,1516
2021-07-16,1616
2021-07-17,1275
2021-07-18,495
2021-07-19,1424
2021-07-20,2329
2021-07-21,2288
2021-07-22,2221
2021-07-23,2111
2021-07-24,1584
2021-07-25,638
2021-07-26,1658
2021-07-27,3090
2021-07-28,2821
2021-07-29,2624
2021-07-30,2513
2021-07-31,1955
2021-08-01,777
2021-08-02,2106
2021-08-03,3743
2021-08-04,3532
2021-08-05,3519
2021-08-06,3517
2021-08-07,2779
2021-08-08,1132
2021-08-09,2908
2021-08-10,5536
2021-08-11,5622
2021-08-12,5411
2021-08-13,5768
2021-08-14,4615
2021-08-15,2059
2021-08-16,4501
2021-08-17,8871
2021-08-18,8713
2021-08-19,8649
2021-08-20,8800
2021-08-21,6796
2021-08-22,3079
2021-08-23,6532
2021-08-24,12837
2021-08-25,12657
2021-08-26,11574
2021-08-27,10352
2021-08-28,8347
2021-08-29,3714
2021-08-30,7032
2021-08-31,14503
2021-09-01,14663
2021-09-02,12647
2021-09-03,11999
2021-09-04,9429
2021-09-05,4028
2021-09-06,6946
2021-09-07,15036
2021-09-08,14092
2021-09-09,12313
2021-09-10,11061
2021-09-11,8505
2021-09-12,3255
2021-09-13,6818
2021-09-14,13314
2021-09-15,12142
2021-09-16,10210
2021-09-17,8834
2021-09-18,6999
2021-09-19,2755
2021-09-20,5355
2021-09-21,11192
2021-09-22,10391
2021-09-23,9033
2021-09-24,8349
2021-09-25,6308
2021-09-26,2617
2021-09-27,5702
2021-09-28,12580
2021-09-29,11296
2021-09-30,9429
2021-10-01,8325
2021-10-02,6101
2021-10-03,2625
2021-10-04,5606
2021-10-05,12121
2021-10-06,11010
2021-10-07,10056
2021-10-08,9146
2021-10-09,6973
2021-10-10,2599
2021-10-11,6170
2021-10-12,12537
2021-10-13,11976
2021-10-14,11243
2021-10-15,11042
2021-10-16,8431
2021-10-17,3368
2021-10-18,8007
2021-10-19,18970
2021-10-20,17833
2021-10-21,17107
2021-10-22,16489
2021-10-23,13155
2021-10-24,5118
2021-10-25,11703
2021-10-26,26165
2021-10-27,27085
2021-10-28,24111
2021-10-29,22387
2021-10-30,16934
2021-10-31,7346
2021-11-01,11332
2021-11-02,24097
2021-11-03,35791
2021-11-04,36148
2021-11-05,33458
2021-11-06,23601
2021-11-07,11742
2021-11-08,23978
2021-11-09,46747
2021-11-10,50505
2021-11-11,49354
2021-11-12,45723
2021-11-13,33749
2021-11-14,18891
2021-11-15,34237
2021-11-16,62539
2021-11-17,62730
2021-11-18,60754
2021-11-19,62057
2021-11-20,42073
2021-11-21,24542
2021-11-22,46161
2021-11-23,73942
2021-11-24,75161
2021-11-25,71403
2021-11-26,63547
2021-11-27,44550
2021-11-28,25338
2021-11-29,43973
2021-11-30,73075
2021-12-01,73498
2021-12-02,67567
2021-12-03,62099
2021-12-04,42198
2021-12-05,22879
2021-12-06,42115
2021-12-07,68850
2021-12-08,66772
2021-12-09,57291
2021-12-10,50747
2021-12-11,34373
2021-12-12,15399
2021-12-13,31241
2021-12-14,59799
2021-12-15,52032
2021-12-16,46944
2021-12-17,40937
2021-12-18,28340
2021-12-19,12122
2021-12-20,26718
2021-12-21,47977
2021-12-22,40685
2021-12-23,34754
2021-12-24,21764
2021-12-25,10336
2021-12-26,10336
2021-12-27,24315
2021-12-28,43115
2021-12-29,41473
2021-12-30,41232
2021-12-31,28853
2022-01-01,14171
2022-01-02,14492
2022-01-03,35719
2022-01-04,64285
2022-01-05,64371
2022-01-06,56191
2022-01-07,55850
2022-01-08,36960
2022-01-09,23658
2022-01-10,53637
2022-01-11,85927
2022-01-12,88260
2022-01-13,83972
2022-01-14,80596
2022-01-15,57062
2022-01-16,35554
2022-01-17,82600
2022-01-18,126546
2022-01-19,139963
2022-01-20,144265
2022-01-21,143675
2022-01-22,95942
2022-01-23,61647
2022-01-24,138777
2022-01-25,192936
2022-01-26,193971
2022-01-27,198180
2022-01-28,187044
2022-01-29,123551
2022-01-30,74026
2022-01-31,157880
2022-02-01,229410
2022-02-02,238381
2022-02-03,236113
2022-02-04,209252
2022-02-05,132801
2022-02-06,82540
2022-02-07,177678
2022-02-08,250326
2022-02-09,246772
2022-02-10,228991
2022-02-11,205432
2022-02-12,121638
2022-02-13,73735
2022-02-14,157797
2022-02-15,228229
2022-02-16,229326
2022-02-17,212299
2022-02-18,177641
2022-02-19,118828
2022-02-20,63783
2022-02-21,138937
2022-02-22,217791
2022-02-23,207652
2022-02-24,189392
2022-02-25,170931
2022-02-26,108124
2022-02-27,55168
2022-02-28,127486
2022-03-01,192736
2022-03-02,203811
2022-03-03,209833
2022-03-04,188122
2022-03-05,120719
2022-03-06,78554
2022-03-07,67720
2022-03-08,101807
2022-03-09,97008
2022-03-10,95313
2022-03-11,85557
2022-03-12,55931
2022-03-13,29356
2022-03-14,74804
2022-03-15,101333
2022-03-16,106132
2022-03-17,102788
2022-03-18,88305
2022-03-19,49145
2022-03-20,30082
2022-03-21,11413
2022-03-22,12137
2022-03-23,9720
2022-03-24,5943
2022-03-25,3744
2022-03-26,842
2022-03-27,499
2022-03-28,1678
2022-03-29,1653
2022-03-30,1851
2022-03-31,2208
2022-04-01,1510
2022-04-02,616
